Codepoint,Property,Status,Description
17B6-17D3,PVALID,,KHMER VOWEL SIGN AA..KHMER SIGN BATHAMASAT
17D4-17D6,DISALLOWED,,KHMER SIGN KHAN..KHMER SIGN CAMNUC PII KUUH
17D7,PVALID,,KHMER SIGN LEK TOO
17D8-17DB,DISALLOWED,,KHMER SIGN BEYYAL..KHMER CURRENCY SYMBOL RIEL
17DC-17DD,PVALID,,KHMER SIGN AVAKRAHASANYA..KHMER SIGN ATTHACAN
17DE-17DF,UNASSIGNED,,<RESERVED>..<RESERVED>
17E0-17E9,PVALID,,KHMER DIGIT ZERO..KHMER DIGIT NINE
17EA-17EF,UNASSIGNED,,<RESERVED>..<RESERVED>
17F0-17F9,DISALLOWED,,KHMER SYMBOL LEK ATTAK SON..KHMER SYMBOL LEK ATTAK PRAM-BUON
17FA-17FF,UNASSIGNED,,<RESERVED>..<RESERVED>
1800-180E,DISALLOWED,,MONGOLIAN BIRGA..MONGOLIAN VOWEL SEPARATOR
180F,UNASSIGNED,,<RESERVED>
1810-1819,PVALID,,MONGOLIAN DIGIT ZERO..MONGOLIAN DIGIT NINE
181A-181F,UNASSIGNED,,<RESERVED>..<RESERVED>
1820-1878,PVALID,,MONGOLIAN LETTER A..MONGOLIAN LETTER CHA WITH TWO DOTS
1879-187F,UNASSIGNED,,<RESERVED>..<RESERVED>
1880-18AA,PVALID,,MONGOLIAN LETTER ALI GALI ANUSVARA ONE..MONGOLIAN LETTER MANCHU ALI GALI LHA
18AB-18AF,UNASSIGNED,,<RESERVED>..<RESERVED>
18B0-18F5,PVALID,,CANADIAN SYLLABICS OY..CANADIAN SYLLABICS CARRIER DENTAL S
18F6-18FF,UNASSIGNED,,<RESERVED>..<RESERVED>
1900-191E,PVALID,,LIMBU VOWEL-CARRIER LETTER..LIMBU LETTER TRA
191F,UNASSIGNED,,<RESERVED>
1920-192B,PVALID,,LIMBU VOWEL SIGN A..LIMBU SUBJOINED LETTER WA
192C-192F,UNASSIGNED,,<RESERVED>..<RESERVED>
1930-193B,PVALID,,LIMBU SMALL LETTER KA..LIMBU SIGN SA-I
193C-193F,UNASSIGNED,,<RESERVED>..<RESERVED>
1940,DISALLOWED,,LIMBU SIGN LOO
1941-1943,UNASSIGNED,,<RESERVED>..<RESERVED>
1944-1945,DISALLOWED,,LIMBU EXCLAMATION MARK..LIMBU QUESTION MARK
1946-196D,PVALID,,LIMBU DIGIT ZERO..TAI LE LETTER AI
196E-196F,UNASSIGNED,,<RESERVED>..<RESERVED>
1970-1974,PVALID,,TAI LE LETTER TONE-2..TAI LE LETTER TONE-6
1975-197F,UNASSIGNED,,<RESERVED>..<RESERVED>
1980-19AB,PVALID,,NEW TAI LUE LETTER HIGH QA..NEW TAI LUE LETTER LOW SUA
19AC-19AF,UNASSIGNED,,<RESERVED>..<RESERVED>
19B0-19C9,PVALID,,NEW TAI LUE VOWEL SIGN VOWEL SHORTENER..NEW TAI LUE TONE MARK-2
19CA-19CF,UNASSIGNED,,<RESERVED>..<RESERVED>
19D0-19D9,PVALID,,NEW TAI LUE DIGIT ZERO..NEW TAI LUE DIGIT NINE
19DA,DISALLOWED,,NEW TAI LUE THAM DIGIT ONE
19DB-19DD,UNASSIGNED,,<RESERVED>..<RESERVED>
19DE-19FF,DISALLOWED,,NEW TAI LUE SIGN LAE..KHMER SYMBOL DAP-PRAM ROC
1A00-1A1B,PVALID,,BUGINESE LETTER KA..BUGINESE VOWEL SIGN AE
1A1C-1A1D,UNASSIGNED,,<RESERVED>..<RESERVED>
1A1E-1A1F,DISALLOWED,,BUGINESE PALLAWA..BUGINESE END OF SECTION
1A20-1A5E,PVALID,,TAI THAM LETTER HIGH KA..TAI THAM CONSONANT SIGN SA
1A5F,UNASSIGNED,,<RESERVED>
1A60-1A7C,PVALID,,TAI THAM SIGN SAKOT..TAI THAM SIGN KHUEN-LUE KARAN
1A7D-1A7E,UNASSIGNED,,<RESERVED>..<RESERVED>
1A7F-1A89,PVALID,,TAI THAM COMBINING CRYPTOGRAMMIC DOT..TAI THAM HORA DIGIT NINE
1A8A-1A8F,UNASSIGNED,,<RESERVED>..<RESERVED>
1A90-1A99,PVALID,,TAI THAM THAM DIGIT ZERO..TAI THAM THAM DIGIT NINE
1A9A-1A9F,UNASSIGNED,,<RESERVED>..<RESERVED>
1AA0-1AA6,DISALLOWED,,TAI THAM SIGN WIANG..TAI THAM SIGN REVERSED ROTATED RANA
1AA7,PVALID,,TAI THAM SIGN MAI YAMOK
1AA8-1AAD,DISALLOWED,,TAI THAM SIGN KAAN..TAI THAM SIGN CAANG
1AAE-1AAF,UNASSIGNED,,<RESERVED>..<RESERVED>
1AB0-1ABD,PVALID,,COMBINING DOUBLED CIRCUMFLEX ACCENT..COMBINING PARENTHESES BELOW
1ABE,DISALLOWED,,COMBINING PARENTHESES OVERLAY
1ABF-1AFF,UNASSIGNED,,<RESERVED>..<RESERVED>
1B00-1B4B,PVALID,,BALINESE SIGN ULU RICEM..BALINESE LETTER ASYURA SASAK
1B4C-1B4F,UNASSIGNED,,<RESERVED>..<RESERVED>
1B50-1B59,PVALID,,BALINESE DIGIT ZERO..BALINESE DIGIT NINE
1B5A-1B6A,DISALLOWED,,BALINESE PANTI..BALINESE MUSICAL SYMBOL DANG GEDE
1B6B-1B73,PVALID,,BALINESE MUSICAL SYMBOL COMBINING TEGEH..BALINESE MUSICAL SYMBOL COMBINING GONG
1B74-1B7C,DISALLOWED,,BALINESE MUSICAL SYMBOL RIGHT-HAND OPEN DUG..BALINESE MUSICAL SYMBOL LEFT-HAND OPEN PING
1B7D-1B7F,UNASSIGNED,,<RESERVED>..<RESERVED>
1B80-1BF3,PVALID,,SUNDANESE SIGN PANYECEK..BATAK PANONGONAN
1BF4-1BFB,UNASSIGNED,,<RESERVED>..<RESERVED>
1BFC-1BFF,DISALLOWED,,BATAK SYMBOL BINDU NA METEK..BATAK SYMBOL BINDU PANGOLAT
1C00-1C37,PVALID,,LEPCHA LETTER KA..LEPCHA SIGN NUKTA
1C38-1C3A,UNASSIGNED,,<RESERVED>..<RESERVED>
1C3B-1C3F,DISALLOWED,,LEPCHA PUNCTUATION TA-ROL..LEPCHA PUNCTUATION TSHOOK
1C40-1C49,PVALID,,LEPCHA DIGIT ZERO..LEPCHA DIGIT NINE
1C4A-1C4C,UNASSIGNED,,<RESERVED>..<RESERVED>
1C4D-1C7D,PVALID,,LEPCHA LETTER TTA..OL CHIKI AHAD
1C7E-1C88,DISALLOWED,,OL CHIKI PUNCTUATION MUCAAD..CYRILLIC SMALL LETTER UNBLENDED UK
1C89-1C8F,UNASSIGNED,,<RESERVED>..<RESERVED>
1C90-1CBA,DISALLOWED,,GEORGIAN MTAVRULI CAPITAL LETTER AN..GEORGIAN MTAVRULI CAPITAL LETTER AIN
1CBB-1CBC,UNASSIGNED,,<RESERVED>..<RESERVED>
1CBD-1CC7,DISALLOWED,,GEORGIAN MTAVRULI CAPITAL LETTER AEN..SUNDANESE PUNCTUATION BINDU BA SATANGA
1CC8-1CCF,UNASSIGNED,,<RESERVED>..<RESERVED>
1CD0-1CD2,PVALID,,VEDIC TONE KARSHANA..VEDIC TONE PRENKHA
1CD3,DISALLOWED,,VEDIC SIGN NIHSHVASA
1CD4-1CF9,PVALID,,VEDIC SIGN YAJURVEDIC MIDLINE SVARITA..VEDIC TONE DOUBLE RING ABOVE
1CFA-1CFF,UNASSIGNED,,<RESERVED>..<RESERVED>
1D00-1D2B,PVALID,,LATIN LETTER SMALL CAPITAL A..CYRILLIC LETTER SMALL CAPITAL EL
1D2C-1D2E,DISALLOWED,,MODIFIER LETTER CAPITAL A..MODIFIER LETTER CAPITAL B
1D2F,PVALID,,MODIFIER LETTER CAPITAL BARRED B
1D30-1D3A,DISALLOWED,,MODIFIER LETTER CAPITAL D..MODIFIER LETTER CAPITAL N
1D3B,PVALID,,MODIFIER LETTER CAPITAL REVERSED N
1D3C-1D4D,DISALLOWED,,MODIFIER LETTER CAPITAL O..MODIFIER LETTER SMALL G
1D4E,PVALID,,MODIFIER LETTER SMALL TURNED I
1D4F-1D6A,DISALLOWED,,MODIFIER LETTER SMALL K..GREEK SUBSCRIPT SMALL LETTER CHI
1D6B-1D77,PVALID,,LATIN SMALL LETTER UE..LATIN SMALL LETTER TURNED G
1D78,DISALLOWED,,MODIFIER LETTER CYRILLIC EN
1D79-1D9A,PVALID,,LATIN SMALL LETTER INSULAR G..LATIN SMALL LETTER EZH WITH RETROFLEX HOOK
1D9B-1DBF,DISALLOWED,,MODIFIER LETTER SMALL TURNED ALPHA..MODIFIER LETTER SMALL THETA
1DC0-1DF9,PVALID,,COMBINING DOTTED GRAVE ACCENT..COMBINING WIDE INVERTED BRIDGE BELOW
1DFA,UNASSIGNED,,<RESERVED>
1DFB-1DFF,PVALID,,COMBINING DELETION MARK..COMBINING RIGHT ARROWHEAD AND DOWN ARROWHEAD BELOW
1E00,DISALLOWED,,LATIN CAPITAL LETTER A WITH RING BELOW
1E01,PVALID,,LATIN SMALL LETTER A WITH RING BELOW
1E02,DISALLOWED,,LATIN CAPITAL LETTER B WITH DOT ABOVE
1E03,PVALID,,LATIN SMALL LETTER B WITH DOT ABOVE
1E04,DISALLOWED,,LATIN CAPITAL LETTER B WITH DOT BELOW
1E05,PVALID,,LATIN SMALL LETTER B WITH DOT BELOW
1E06,DISALLOWED,,LATIN CAPITAL LETTER B WITH LINE BELOW
1E07,PVALID,,LATIN SMALL LETTER B WITH LINE BELOW
1E08,DISALLOWED,,LATIN CAPITAL LETTER C WITH CEDILLA AND ACUTE
1E09,PVALID,,LATIN SMALL LETTER C WITH CEDILLA AND ACUTE
1E0A,DISALLOWED,,LATIN CAPITAL LETTER D WITH DOT ABOVE
1E0B,PVALID,,LATIN SMALL LETTER D WITH DOT ABOVE
1E0C,DISALLOWED,,LATIN CAPITAL LETTER D WITH DOT BELOW
1E0D,PVALID,,LATIN SMALL LETTER D WITH DOT BELOW
1E0E,DISALLOWED,,LATIN CAPITAL LETTER D WITH LINE BELOW
1E0F,PVALID,,LATIN SMALL LETTER D WITH LINE BELOW
1E10,DISALLOWED,,LATIN CAPITAL LETTER D WITH CEDILLA
1E11,PVALID,,LATIN SMALL LETTER D WITH CEDILLA
1E12,DISALLOWED,,LATIN CAPITAL LETTER D WITH CIRCUMFLEX BELOW
1E13,PVALID,,LATIN SMALL LETTER D WITH CIRCUMFLEX BELOW
1E14,DISALLOWED,,LATIN CAPITAL LETTER E WITH MACRON AND GRAVE
1E15,PVALID,,LATIN SMALL LETTER E WITH MACRON AND GRAVE
1E16,DISALLOWED,,LATIN CAPITAL LETTER E WITH MACRON AND ACUTE
1E17,PVALID,,LATIN SMALL LETTER E WITH MACRON AND ACUTE
1E18,DISALLOWED,,LATIN CAPITAL LETTER E WITH CIRCUMFLEX BELOW
1E19,PVALID,,LATIN SMALL LETTER E WITH CIRCUMFLEX BELOW
1E1A,DISALLOWED,,LATIN CAPITAL LETTER E WITH TILDE BELOW
1E1B,PVALID,,LATIN SMALL LETTER E WITH TILDE BELOW
1E1C,DISALLOWED,,LATIN CAPITAL LETTER E WITH CEDILLA AND BREVE
1E1D,PVALID,,LATIN SMALL LETTER E WITH CEDILLA AND BREVE
1E1E,DISALLOWED,,LATIN CAPITAL LETTER F WITH DOT ABOVE
1E1F,PVALID,,LATIN SMALL LETTER F WITH DOT ABOVE
1E20,DISALLOWED,,LATIN CAPITAL LETTER G WITH MACRON
1E21,PVALID,,LATIN SMALL LETTER G WITH MACRON
1E22,DISALLOWED,,LATIN CAPITAL LETTER H WITH DOT ABOVE
1E23,PVALID,,LATIN SMALL LETTER H WITH DOT ABOVE
1E24,DISALLOWED,,LATIN CAPITAL LETTER H WITH DOT BELOW
1E25,PVALID,,LATIN SMALL LETTER H WITH DOT BELOW
1E26,DISALLOWED,,LATIN CAPITAL LETTER H WITH DIAERESIS
1E27,PVALID,,LATIN SMALL LETTER H WITH DIAERESIS
1E28,DISALLOWED,,LATIN CAPITAL LETTER H WITH CEDILLA
1E29,PVALID,,LATIN SMALL LETTER H WITH CEDILLA
1E2A,DISALLOWED,,LATIN CAPITAL LETTER H WITH BREVE BELOW
1E2B,PVALID,,LATIN SMALL LETTER H WITH BREVE BELOW
1E2C,DISALLOWED,,LATIN CAPITAL LETTER I WITH TILDE BELOW
1E2D,PVALID,,LATIN SMALL LETTER I WITH TILDE BELOW
1E2E,DISALLOWED,,LATIN CAPITAL LETTER I WITH DIAERESIS AND ACUTE
1E2F,PVALID,,LATIN SMALL LETTER I WITH DIAERESIS AND ACUTE
1E30,DISALLOWED,,LATIN CAPITAL LETTER K WITH ACUTE
1E31,PVALID,,LATIN SMALL LETTER K WITH ACUTE
1E32,DISALLOWED,,LATIN CAPITAL LETTER K WITH DOT BELOW
1E33,PVALID,,LATIN SMALL LETTER K WITH DOT BELOW
1E34,DISALLOWED,,LATIN CAPITAL LETTER K WITH LINE BELOW
1E35,PVALID,,LATIN SMALL LETTER K WITH LINE BELOW
1E36,DISALLOWED,,LATIN CAPITAL LETTER L WITH DOT BELOW
1E37,PVALID,,LATIN SMALL LETTER L WITH DOT BELOW
1E38,DISALLOWED,,LATIN CAPITAL LETTER L WITH DOT BELOW AND MACRON
1E39,PVALID,,LATIN SMALL LETTER L WITH DOT BELOW AND MACRON
1E3A,DISALLOWED,,LATIN CAPITAL LETTER L WITH LINE BELOW
1E3B,PVALID,,LATIN SMALL LETTER L WITH LINE BELOW
1E3C,DISALLOWED,,LATIN CAPITAL LETTER L WITH CIRCUMFLEX BELOW
1E3D,PVALID,,LATIN SMALL LETTER L WITH CIRCUMFLEX BELOW
1E3E,DISALLOWED,,LATIN CAPITAL LETTER M WITH ACUTE
1E3F,PVALID,,LATIN SMALL LETTER M WITH ACUTE
1E40,DISALLOWED,,LATIN CAPITAL LETTER M WITH DOT ABOVE
1E41,PVALID,,LATIN SMALL LETTER M WITH DOT ABOVE
1E42,DISALLOWED,,LATIN CAPITAL LETTER M WITH DOT BELOW
1E43,PVALID,,LATIN SMALL LETTER M WITH DOT BELOW
1E44,DISALLOWED,,LATIN CAPITAL LETTER N WITH DOT ABOVE
1E45,PVALID,,LATIN SMALL LETTER N WITH DOT ABOVE
1E46,DISALLOWED,,LATIN CAPITAL LETTER N WITH DOT BELOW
1E47,PVALID,,LATIN SMALL LETTER N WITH DOT BELOW
1E48,DISALLOWED,,LATIN CAPITAL LETTER N WITH LINE BELOW
1E49,PVALID,,LATIN SMALL LETTER N WITH LINE BELOW
1E4A,DISALLOWED,,LATIN CAPITAL LETTER N WITH CIRCUMFLEX BELOW
1E4B,PVALID,,LATIN SMALL LETTER N WITH CIRCUMFLEX BELOW
1E4C,DISALLOWED,,LATIN CAPITAL LETTER O WITH TILDE AND ACUTE
1E4D,PVALID,,LATIN SMALL LETTER O WITH TILDE AND ACUTE
1E4E,DISALLOWED,,LATIN CAPITAL LETTER O WITH TILDE AND DIAERESIS
1E4F,PVALID,,LATIN SMALL LETTER O WITH TILDE AND DIAERESIS
1E50,DISALLOWED,,LATIN CAPITAL LETTER O WITH MACRON AND GRAVE
1E51,PVALID,,LATIN SMALL LETTER O WITH MACRON AND GRAVE
1E52,DISALLOWED,,LATIN CAPITAL LETTER O WITH MACRON AND ACUTE
1E53,PVALID,,LATIN SMALL LETTER O WITH MACRON AND ACUTE
1E54,DISALLOWED,,LATIN CAPITAL LETTER P WITH ACUTE
1E55,PVALID,,LATIN SMALL LETTER P WITH ACUTE
1E56,DISALLOWED,,LATIN CAPITAL LETTER P WITH DOT ABOVE
1E57,PVALID,,LATIN SMALL LETTER P WITH DOT ABOVE
1E58,DISALLOWED,,LATIN CAPITAL LETTER R WITH DOT ABOVE
1E59,PVALID,,LATIN SMALL LETTER R WITH DOT ABOVE
1E5A,DISALLOWED,,LATIN CAPITAL LETTER R WITH DOT BELOW
1E5B,PVALID,,LATIN SMALL LETTER R WITH DOT BELOW
1E5C,DISALLOWED,,LATIN CAPITAL LETTER R WITH DOT BELOW AND MACRON
1E5D,PVALID,,LATIN SMALL LETTER R WITH DOT BELOW AND MACRON
1E5E,DISALLOWED,,LATIN CAPITAL LETTER R WITH LINE BELOW
1E5F,PVALID,,LATIN SMALL LETTER R WITH LINE BELOW
1E60,DISALLOWED,,LATIN CAPITAL LETTER S WITH DOT ABOVE
1E61,PVALID,,LATIN SMALL LETTER S WITH DOT ABOVE
1E62,DISALLOWED,,LATIN CAPITAL LETTER S WITH DOT BELOW
1E63,PVALID,,LATIN SMALL LETTER S WITH DOT BELOW
1E64,DISALLOWED,,LATIN CAPITAL LETTER S WITH ACUTE AND DOT ABOVE
1E65,PVALID,,LATIN SMALL LETTER S WITH ACUTE AND DOT ABOVE
1E66,DISALLOWED,,LATIN CAPITAL LETTER S WITH CARON AND DOT ABOVE
1E67,PVALID,,LATIN SMALL LETTER S WITH CARON AND DOT ABOVE
1E68,DISALLOWED,,LATIN CAPITAL LETTER S WITH DOT BELOW AND DOT ABOVE
1E69,PVALID,,LATIN SMALL LETTER S WITH DOT BELOW AND DOT ABOVE
1E6A,DISALLOWED,,LATIN CAPITAL LETTER T WITH DOT ABOVE
1E6B,PVALID,,LATIN SMALL LETTER T WITH DOT ABOVE
1E6C,DISALLOWED,,LATIN CAPITAL LETTER T WITH DOT BELOW
1E6D,PVALID,,LATIN SMALL LETTER T WITH DOT BELOW
1E6E,DISALLOWED,,LATIN CAPITAL LETTER T WITH LINE BELOW
1E6F,PVALID,,LATIN SMALL LETTER T WITH LINE BELOW
1E70,DISALLOWED,,LATIN CAPITAL LETTER T WITH CIRCUMFLEX BELOW
1E71,PVALID,,LATIN SMALL LETTER T WITH CIRCUMFLEX BELOW
1E72,DISALLOWED,,LATIN CAPITAL LETTER U WITH DIAERESIS BELOW
1E73,PVALID,,LATIN SMALL LETTER U WITH DIAERESIS BELOW
1E74,DISALLOWED,,LATIN CAPITAL LETTER U WITH TILDE BELOW
1E75,PVALID,,LATIN SMALL LETTER U WITH TILDE BELOW
1E76,DISALLOWED,,LATIN CAPITAL LETTER U WITH CIRCUMFLEX BELOW
1E77,PVALID,,LATIN SMALL LETTER U WITH CIRCUMFLEX BELOW
1E78,DISALLOWED,,LATIN CAPITAL LETTER U WITH TILDE AND ACUTE
1E79,PVALID,,LATIN SMALL LETTER U WITH TILDE AND ACUTE
1E7A,DISALLOWED,,LATIN CAPITAL LETTER U WITH MACRON AND DIAERESIS
1E7B,PVALID,,LATIN SMALL LETTER U WITH MACRON AND DIAERESIS
1E7C,DISALLOWED,,LATIN CAPITAL LETTER V WITH TILDE
1E7D,PVALID,,LATIN SMALL LETTER V WITH TILDE
1E7E,DISALLOWED,,LATIN CAPITAL LETTER V WITH DOT BELOW
1E7F,PVALID,,LATIN SMALL LETTER V WITH DOT BELOW
1E80,DISALLOWED,,LATIN CAPITAL LETTER W WITH GRAVE
1E81,PVALID,,LATIN SMALL LETTER W WITH GRAVE
1E82,DISALLOWED,,LATIN CAPITAL LETTER W WITH ACUTE
1E83,PVALID,,LATIN SMALL LETTER W WITH ACUTE
1E84,DISALLOWED,,LATIN CAPITAL LETTER W WITH DIAERESIS
1E85,PVALID,,LATIN SMALL LETTER W WITH DIAERESIS
1E86,DISALLOWED,,LATIN CAPITAL LETTER W WITH DOT ABOVE
1E87,PVALID,,LATIN SMALL LETTER W WITH DOT ABOVE
1E88,DISALLOWED,,LATIN CAPITAL LETTER W WITH DOT BELOW
1E89,PVALID,,LATIN SMALL LETTER W WITH DOT BELOW
1E8A,DISALLOWED,,LATIN CAPITAL LETTER X WITH DOT ABOVE
1E8B,PVALID,,LATIN SMALL LETTER X WITH DOT ABOVE
1E8C,DISALLOWED,,LATIN CAPITAL LETTER X WITH DIAERESIS
1E8D,PVALID,,LATIN SMALL LETTER X WITH DIAERESIS
1E8E,DISALLOWED,,LATIN CAPITAL LETTER Y WITH DOT ABOVE
1E8F,PVALID,,LATIN SMALL LETTER Y WITH DOT ABOVE
1E90,DISALLOWED,,LATIN CAPITAL LETTER Z WITH CIRCUMFLEX
1E91,PVALID,,LATIN SMALL LETTER Z WITH CIRCUMFLEX
1E92,DISALLOWED,,LATIN CAPITAL LETTER Z WITH DOT BELOW
1E93,PVALID,,LATIN SMALL LETTER Z WITH DOT BELOW
1E94,DISALLOWED,,LATIN CAPITAL LETTER Z WITH LINE BELOW
1E95-1E99,PVALID,,LATIN SMALL LETTER Z WITH LINE BELOW..LATIN SMALL LETTER Y WITH RING ABOVE
1E9A-1E9B,DISALLOWED,,LATIN SMALL LETTER A WITH RIGHT HALF RING..LATIN SMALL LETTER LONG S WITH DOT ABOVE
1E9C-1E9D,PVALID,,LATIN SMALL LETTER LONG S WITH DIAGONAL STROKE..LATIN SMALL LETTER LONG S WITH HIGH STROKE
1E9E,DISALLOWED,,LATIN CAPITAL LETTER SHARP S
1E9F,PVALID,,LATIN SMALL LETTER DELTA
1EA0,DISALLOWED,,LATIN CAPITAL LETTER A WITH DOT BELOW
1EA1,PVALID,,LATIN SMALL LETTER A WITH DOT BELOW
1EA2,DISALLOWED,,LATIN CAPITAL LETTER A WITH HOOK ABOVE
1EA3,PVALID,,LATIN SMALL LETTER A WITH HOOK ABOVE
1EA4,DISALLOWED,,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND ACUTE
1EA5,PVALID,,LATIN SMALL LETTER A WITH CIRCUMFLEX AND ACUTE
1EA6,DISALLOWED,,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND GRAVE
1EA7,PVALID,,LATIN SMALL LETTER A WITH CIRCUMFLEX AND GRAVE
1EA8,DISALLOWED,,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
1EA9,PVALID,,LATIN SMALL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
1EAA,DISALLOWED,,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND TILDE
1EAB,PVALID,,LATIN SMALL LETTER A WITH CIRCUMFLEX AND TILDE
1EAC,DISALLOWED,,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND DOT BELOW
1EAD,PVALID,,LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT BELOW
1EAE,DISALLOWED,,LATIN CAPITAL LETTER A WITH BREVE AND ACUTE
1EAF,PVALID,,LATIN SMALL LETTER A WITH BREVE AND ACUTE
1EB0,DISALLOWED,,LATIN CAPITAL LETTER A WITH BREVE AND GRAVE
1EB1,PVALID,,LATIN SMALL LETTER A WITH BREVE AND GRAVE
1EB2,DISALLOWED,,LATIN CAPITAL LETTER A WITH BREVE AND HOOK ABOVE
1EB3,PVALID,,LATIN SMALL LETTER A WITH BREVE AND HOOK ABOVE
1EB4,DISALLOWED,,LATIN CAPITAL LETTER A WITH BREVE AND TILDE
1EB5,PVALID,,LATIN SMALL LETTER A WITH BREVE AND TILDE
1EB6,DISALLOWED,,LATIN CAPITAL LETTER A WITH BREVE AND DOT BELOW
1EB7,PVALID,,LATIN SMALL LETTER A WITH BREVE AND DOT BELOW
1EB8,DISALLOWED,,LATIN CAPITAL LETTER E WITH DOT BELOW
1EB9,PVALID,,LATIN SMALL LETTER E WITH DOT BELOW
1EBA,DISALLOWED,,LATIN CAPITAL LETTER E WITH HOOK ABOVE
1EBB,PVALID,,LATIN SMALL LETTER E WITH HOOK ABOVE
1EBC,DISALLOWED,,LATIN CAPITAL LETTER E WITH TILDE
1EBD,PVALID,,LATIN SMALL LETTER E WITH TILDE
1EBE,DISALLOWED,,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND ACUTE
1EBF,PVALID,,LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACUTE
1EC0,DISALLOWED,,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND GRAVE
1EC1,PVALID,,LATIN SMALL LETTER E WITH CIRCUMFLEX AND GRAVE
1EC2,DISALLOWED,,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
1EC3,PVALID,,LATIN SMALL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
1EC4,DISALLOWED,,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND TILDE
1EC5,PVALID,,LATIN SMALL LETTER E WITH CIRCUMFLEX AND TILDE
1EC6,DISALLOWED,,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND DOT BELOW
1EC7,PVALID,,LATIN SMALL LETTER E WITH CIRCUMFLEX AND DOT BELOW
1EC8,DISALLOWED,,LATIN CAPITAL LETTER I WITH HOOK ABOVE
1EC9,PVALID,,LATIN SMALL LETTER I WITH HOOK ABOVE
1ECA,DISALLOWED,,LATIN CAPITAL LETTER I WITH DOT BELOW
1ECB,PVALID,,LATIN SMALL LETTER I WITH DOT BELOW
1ECC,DISALLOWED,,LATIN CAPITAL LETTER O WITH DOT BELOW
1ECD,PVALID,,LATIN SMALL LETTER O WITH DOT BELOW
1ECE,DISALLOWED,,LATIN CAPITAL LETTER O WITH HOOK ABOVE
1ECF,PVALID,,LATIN SMALL LETTER O WITH HOOK ABOVE
1ED0,DISALLOWED,,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND ACUTE
1ED1,PVALID,,LATIN SMALL LETTER O WITH CIRCUMFLEX AND ACUTE
1ED2,DISALLOWED,,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND GRAVE
1ED3,PVALID,,LATIN SMALL LETTER O WITH CIRCUMFLEX AND GRAVE
1ED4,DISALLOWED,,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE
1ED5,PVALID,,LATIN SMALL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE
1ED6,DISALLOWED,,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND TILDE
1ED7,PVALID,,LATIN SMALL LETTER O WITH CIRCUMFLEX AND TILDE
1ED8,DISALLOWED,,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND DOT BELOW
1ED9,PVALID,,LATIN SMALL LETTER O WITH CIRCUMFLEX AND DOT BELOW
1EDA,DISALLOWED,,LATIN CAPITAL LETTER O WITH HORN AND ACUTE
1EDB,PVALID,,LATIN SMALL LETTER O WITH HORN AND ACUTE
1EDC,DISALLOWED,,LATIN CAPITAL LETTER O WITH HORN AND GRAVE
1EDD,PVALID,,LATIN SMALL LETTER O WITH HORN AND GRAVE
1EDE,DISALLOWED,,LATIN CAPITAL LETTER O WITH HORN AND HOOK ABOVE
1EDF,PVALID,,LATIN SMALL LETTER O WITH HORN AND HOOK ABOVE
1EE0,DISALLOWED,,LATIN CAPITAL LETTER O WITH HORN AND TILDE
1EE1,PVALID,,LATIN SMALL LETTER O WITH HORN AND TILDE
1EE2,DISALLOWED,,LATIN CAPITAL LETTER O WITH HORN AND DOT BELOW
1EE3,PVALID,,LATIN SMALL LETTER O WITH HORN AND DOT BELOW
1EE4,DISALLOWED,,LATIN CAPITAL LETTER U WITH DOT BELOW
1EE5,PVALID,,LATIN SMALL LETTER U WITH DOT BELOW
1EE6,DISALLOWED,,LATIN CAPITAL LETTER U WITH HOOK ABOVE
1EE7,PVALID,,LATIN SMALL LETTER U WITH HOOK ABOVE
1EE8,DISALLOWED,,LATIN CAPITAL LETTER U WITH HORN AND ACUTE
1EE9,PVALID,,LATIN SMALL LETTER U WITH HORN AND ACUTE
1EEA,DISALLOWED,,LATIN CAPITAL LETTER U WITH HORN AND GRAVE
1EEB,PVALID,,LATIN SMALL LETTER U WITH HORN AND GRAVE
1EEC,DISALLOWED,,LATIN CAPITAL LETTER U WITH HORN AND HOOK ABOVE
1EED,PVALID,,LATIN SMALL LETTER U WITH HORN AND HOOK ABOVE
1EEE,DISALLOWED,,LATIN CAPITAL LETTER U WITH HORN AND TILDE
